#identified kinases with KD via Pfam
#kinases with uniprot entries with activating mutations
uniprot_id,gene
Q9UM73,ALK
O14965,AURKA
P15056,BRAF
Q8IWQ3,BRSK2
Q00536,CDK16
Q9BWU1,CDK19
Q16832,DDR2
P00533,EGFR
Q15303,ERBB4
P07332,FES
P11362,FGFR1
P22607,FGFR3
P09769,FGR
P36888,FLT3
P25092,GUC2C
P08631,HCK
O14920,IKKB
P23458,JAK1
Q9UQM7,KCC2A
P10721,KIT
Q99683,M3K5
Q96L34,MARK4
P36507,MP2K2
P51955,NEK2
O96013,PAK4
P16234,PGFRA
P11309,PIM1
P04049,RAF1
Q13546,RIPK1
Q9HBY8,SGK2
Q96BR1,SGK3
Q02763,TIE2
P43403,ZAP70
