#identified kinases with KD via Pfam
#kinases with uniprot entries with deactivating mutations
uniprot_id,gene
Q2M2I8,AAK1
O14965,AURKA
P15056,BRAF
Q8IWQ3,BRSK2
Q00536,CDK16
P24941,CDK2
O96017,CHK2
P07333,CSF1R
P53355,DAPK1
Q9UIK4,DAPK2
O43293,DAPK3
Q13627,DYR1A
Q92630,DYRK2
P00533,EGFR
P29317,EPHA2
P54760,EPHB4
P04626,ERBB2
P21860,ERBB3
Q15303,ERBB4
Q14289,FAK2
P07332,FES
P11362,FGFR1
P21802,FGFR2
P22607,FGFR3
P08631,HCK
P08069,IGF1R
P06213,INSR
P51617,IRAK1
Q9Y616,IRAK3
P48730,KC1D
Q13976,KGP1
P10721,KIT
O94806,KPCD3
P41743,KPCI
Q8IVT5,KSR1
P53667,LIMK1
Q5S007,LRRK2
P07948,LYN
Q16584,M3K11
P80192,M3K9
P49137,MAPK2
Q8IW41,MAPK5
Q9HBH9,MKNK2
Q02750,MP2K1
O15146,MUSK
Q15746,MYLK
P04629,NTRK1
Q5VST9,OBSCN
Q13153,PAK1
P16234,PGFRA
P09619,PGFRB
Q9BXM7,PINK1
Q16513,PKN2
P53350,PLK1
Q9H4B4,PLK3
P04049,RAF1
Q13546,RIPK1
O43353,RIPK2
Q05823,RN5A
Q01973,ROR1
P57059,SIK1
Q9H3Y6,SRMS
Q9Y2H1,ST38L
Q15831,STK11
Q15208,STK38
Q9UHD2,TBK1
Q8IWB6,TEX14
P36897,TGFR1
Q02763,TIE2
Q59H18,TNI3K
P42681,TXK
P29597,TYK2
P30530,UFO
P17948,VGFR1
P35968,VGFR2
P35916,VGFR3
Q99986,VRK1
